Pollutant:,CO2,Unit: grams of CO2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
cement and other nonmetallic minerals 239,28796110210696.92,27769205834683.953,27854781199351.7,26314424635332.258,27683630470016.21,27255753646677.47,26926335855628.133,28345015602520.035,28502024650825.324,29081587747535.73,29506437007563.484,29701955891179.68,29795282934388.223,29922409907613.156,30141773168565.176,30564718424324.93,31027059995115.51,31393887230345.16,31745472795781.777,32113756941159.812,32550244138206.156,32868927816125.254,33139067093729.984,33394280750833.176,33641560414443.13,34032501825184.21,34472419313320.652,34814134119789.047,34971513177020.906,35195669209849.93,35432565497957.97,35664406924532.664,35917845695066.19,35943002447813.445,35956875855430.07,36071557424239.375
iron and steel 241,48245689655172.414,45382758620689.66,43050000000000.01,46018965517241.375,44216379310344.836,39020689655172.414,45109096429463.91,46028145513100.195,46160864697758.664,45753147985746.31,46135107687665.43,45918926779903.33,45365645303574.93,44747024382217.71,44271038405310.64,43936628362799.03,43431223640726.86,43105362684480.72,42584410701646.46,42225336124245.84,42061679668282.02,41921586275995.05,41695371220976.766,41408812743899.14,40862655746018.85,40342768890524.69,40319424969601.26,40555408249881.0,40858743562085.93,40607476783996.91,40332322726104.86,40609382138478.57,40611858559544.27,39757992750239.0,39144733449613.95,39371568869339.77
other metals 242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metal products except machinery and vehicles 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computers and electronics 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliances and electrical equipment 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other machinery 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road vehicles 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonroad vehicles 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other manufacturing 31T33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy pipelines and gas processing 352T353,3521652498597.027,3805755189260.249,4070899522618.687,4093921989447.865,4834082840236.686,4841313396747.396,4867311349077.451,4946990138750.913,5046833630476.583,5146901793223.719,5212235954286.734,5328330221667.797,5410644607601.666,5585101381888.553,5691453813160.758,5777197354787.611,5883786759263.345,6013543738857.258,6183281290769.202,6262558554650.321,6341394966393.577,6379115875769.242,6464402934045.3955,6559691053097.305,6658596586300.775,6757689740374.965,6841258814260.235,6939121219351.492,7060615841250.529,7158790837075.496,7259322822210.877,7391929681766.599,7522100209985.789,7644484582689.609,7761526976957.211,7920047152934.254
water and waste 36T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
construction 41T43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
