Pollutant:,VOC,Unit: grams of VOC,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
glass and glass products 231,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement and other nonmetallic minerals 239,0,0,0,0,0,9091130456.13817,8815427042.691296,9317759174.900173,9427302066.159788,9628624055.03207,9816673066.36346,9875063429.022749,9912358351.034353,9955033766.270052,10014496872.041143,10112432806.902344,10216936886.008049,10301778558.716755,10382561848.441875,10465485183.36381,10560558621.731096,10631624851.147598,10692172972.66641,10748760037.45875,10802770513.934608,10883704851.326672,10973165083.445581,11042550804.350384,11075147869.258945,11119823903.644363,11166103917.548204,11210548232.080456,11258346798.78781,11260915192.12256,11260444010.358334,11278728766.992298
iron and steel 241,0,0,0,0,0,11853974406.905924,11909645712.405277,13479645989.706915,13163734491.25381,14052811742.324303,15123986860.013882,15073145278.241154,14926291370.038818,14760343574.061499,14634176119.633194,14547506798.553291,14411896185.74731,14326539225.954363,14185421079.366198,14089548880.01333,14048411411.539488,14013383414.673964,13953437932.89825,13875879731.978462,13724337162.224258,13579715876.618994,13575098292.551046,13643367230.751717,13730215693.084812,13659666078.879871,13581914033.655575,13659992371.599901,13659941752.859592,13417140353.618683,13241995858.037563,13304148655.609154
other metals 242,0,0,0,0,0,12176650870.265059,14594085251.497145,16217237817.108843,16167492018.84533,16376862177.861233,16690815702.256153,16889573090.568146,17058050294.697863,17206684693.064064,17344499609.92517,17472139415.06536,17578774342.048367,17642067322.38257,17706017487.519142,17771144579.444397,17817758325.17127,17785203821.66042,17753490713.71711,17809394755.721878,17797109945.70916,17720862943.772606,17792466638.65382,17929652333.8049,18036331336.84139,18068389439.45645,18192572955.608597,18345922974.36511,18495466906.612217,18560304180.990547,18596545383.752663,18783196166.922546
metal products except machinery and vehicles 25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computers and electronics 26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliances and electrical equipment 27,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other machinery 28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road vehicles 29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonroad vehicles 30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other manufacturing 31T33,0,0,0,0,0,174528296708.23242,196123151238.58795,208423866029.03183,213656297737.22107,217636859086.52264,223725564555.82434,224518244508.15817,225248879695.8828,227006576478.94186,228501207948.00507,230493653261.4485,230458153613.3629,232470342604.1714,236302535858.89038,240192133354.45917,244621871977.54553,249456525129.88,255247586890.90286,261855154621.98108,269441712305.2823,276946187064.45685,284438866887.7882,292588730574.9313,301217662703.4102,309835955218.2171,319306122233.5699,329498244502.3372,339704160001.289,350892867611.04877,362703019522.5083,374530959968.0019
energy pipelines and gas processing 352T353,0,0,0,0,0,188300931396.42575,186640593002.50793,187166028572.24792,188535415729.63147,189979354082.1593,190217784809.33923,189694583960.75168,188049949945.04953,189636568033.02716,188917207478.00577,187585172734.67014,186837578228.6577,186828328297.0605,188021722364.53485,186458719632.2259,184933825089.18323,184484247835.27145,185416210296.07416,186627269694.3468,187930630923.82626,189228169537.9615,189882098930.83746,190916632430.6533,192576581071.39658,193576204361.05206,194620745879.1456,196194661237.36786,197665846294.66925,198897928264.75385,199960708456.51324,202053409923.24252
water and waste 36T39,0,0,0,0,0,172480742685.82565,174140019877.8945,175799297069.96368,177458574262.03278,179117851454.1019,180777128646.17105,182381958934.84036,183986789223.5099,185591619512.17953,187196449800.84906,188801280089.51837,190314285887.23145,191827291684.9445,193340297482.65762,194853303280.37054,196366309078.0837,197775496372.20404,199184683666.32443,200593870960.4448,202003058254.56512,203412245548.6857,204690534626.31027,205968823703.9354,207247112781.56052,208525401859.18555,209803690936.81012,210957470186.29102,212111249435.7719,213265028685.25256,214418807934.7332,215572587184.21384
construction 41T43,0,0,0,0,0,749103417960.1125,723285997389.4005,720566688435.1058,738167220439.0459,758781764238.1223,775921883913.3807,779796963869.6444,783439098176.9253,786854546757.9926,790051773085.1124,793037327581.1487,795815114283.9575,798385561858.3127,800747784633.1935,802899458607.8445,804839676855.1403,806570508302.5846,808096129774.7064,809420349656.8923,810547918688.493,811483268767.292,812228922284.3545,812788280216.3972,813167822132.6017,813375122291.531,813416309536.6423,813295284363.1085,813013481557.9813,812571577773.9203,811968836132.6366,811205217664.6055
