Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
rubber and plastic products 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass and glass products 231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement and other nonmetallic minerals 239,20489179614355.867,20516553446176.668,22778986520668.152,15163938109529.1,9079075324942.3,2519708307523.9883,2872894130731.49,3216440065198.4463,3550722472131.793,3876085168957.621,4192842872447.0317,4427045654512.119,4661471671313.772,4896107758119.629,5130941765385.854,5365962462751.105,6172458525962.656,6978364080524.611,7783712611764.155,8588535120221.494,9392860347932.273,9926086071909.781,10456530220743.318,10984333597059.498,11509627657983.027,12032535277842.934,16522280636966.625,20930038708412.44,25261150961389.74,29520504731960.32,33712580481705.12
iron and steel 241,187234148582166.06,200094731797806.8,202698459807755.1,196276332512884.72,207353324911401.5,212676402899906.88,214526744879876.38,216330560378155.22,218087678251307.88,219797942154593.2,221461208976265.22,226185954255780.53,230910566545771.3,235635053688975.3,240359422923343.47,245083680939234.22,249531725486981.1,253980067740287.78,258428690817490.97,262877579089635.7,267326718066394.25,270896712616748.56,274468140308133.34,278040928595313.88,281615009748105.25,285190320458405.56,286870672779264.5,288590449112723.75,290347080985604.4,292138218297007.44,293961706593738.5
other metals 242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metal products except machinery and vehicles 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computers and electronics 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliances and electrical equipment 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other machinery 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road vehicles 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonroad vehicles 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other manufacturing 31T33,187234148582166.06,200094731797806.8,202698459807755.1,196276332512884.72,207353324911401.5,212676402899906.88,214526744879876.38,216330560378155.22,218087678251307.88,219797942154593.2,221461208976265.22,226185954255780.53,230910566545771.3,235635053688975.3,240359422923343.47,245083680939234.22,249531725486981.1,253980067740287.78,258428690817490.97,262877579089635.7,267326718066394.25,270896712616748.56,274468140308133.34,278040928595313.88,281615009748105.25,285190320458405.56,286870672779264.5,288590449112723.75,290347080985604.4,292138218297007.44,293961706593738.5
energy pipelines and gas processing 352T353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water and waste 36T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
construction 41T43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
